Length / nm,Width / nm,Layer Number
55,45,3.42105
130,75,3.42105
45,35,3.42105
165,85,3.42105
90,45,3.68421
120,68,3.68421
100,60,3.68421
145,70,3.68421
75,55,3.68421
100,65,3.68421
160,50,3.68421
130,67,3.68421
90,60,3.68421
75,50,3.68421
90,40,3.68421
80,50,3.68421
70,50,3.68421
125,115,3.68421
40,32,3.68421
120,105,3.68421
160,55,3.68421
90,50,3.68421
90,60,3.68421
70,45,3.68421
50,38,3.68421
180,150,3.68421
45,40,3.68421
170,70,3.68421
140,100,3.68421
220,75,3.68421
50,30,3.68421
110,65,3.68421
75,30,3.68421
80,60,3.68421
100,80,3.68421
50,40,3.68421
95,60,3.68421
150,120,3.68421
80,50,3.68421
80,58,3.68421
80,70,3.68421
70,65,3.68421
45,40,3.68421
115,55,3.68421
65,55,3.68421
125,60,3.68421
130,50,3.68421
130,90,3.68421
140,115,3.68421
65,35,3.68421
120,50,3.94737
90,60,3.94737
160,48,3.94737
80,70,3.94737
140,75,3.94737
75,65,4.21053
85,75,4.21053
52,38,4.21053
190,115,4.21053
65,55,4.21053
130,70,4.21053
110,60,4.21053
75,48,4.21053
58,40,4.21053
140,75,4.21053
65,50,4.21053
40,30,4.21053
120,55,4.21053
135,40,4.21053
200,160,4.21053
65,60,4.21053
190,65,4.21053
70,55,4.21053
85,45,4.21053
40,38,4.21053
105,65,4.21053
90,65,4.21053
85,50,4.21053
47,45,4.21053
50,40,4.21053
105,80,4.21053
68,40,4.21053
60,50,4.21053
105,65,4.21053
95,55,4.21053
110,70,4.21053
145,105,4.21053
210,105,4.21053
150,45,4.21053
150,100,4.21053
65,45,4.21053
55,42,4.21053
65,55,4.21053
150,80,4.21053
100,65,4.21053
135,90,4.21053
125,75,4.21053
65,45,4.21053
140,130,4.21053
90,50,4.21053
60,40,4.21053
60,35,4.21053
145,100,4.21053
75,60,4.21053
65,50,4.21053
175,130,4.21053
65,55,4.21053
35,28,4.21053
165,110,4.21053
90,80,4.21053
85,78,4.21053
90,65,4.21053
70,45,4.21053
70,45,4.21053
60,50,4.47368
50,38,4.73684
130,100,4.73684
140,100,4.73684
85,40,4.73684
95,90,4.73684
75,50,4.73684
125,50,4.73684
80,57,4.73684
125,75,4.73684
75,58,4.73684
95,77,4.73684
60,40,4.73684
110,70,4.73684
90,75,4.73684
80,70,4.73684
95,80,4.73684
100,70,4.73684
75,70,4.73684
80,60,4.73684
190,125,4.73684
410,190,4.73684
190,75,4.73684
140,95,4.73684
85,55,4.73684
110,80,4.73684
145,100,4.73684
100,57,4.73684
160,65,4.73684
50,38,4.73684
325,200,4.73684
78,40,4.73684
100,65,4.73684
60,50,4.73684
90,70,4.73684
78,75,4.73684
60,45,5.26316
100,75,5.26316
90,85,5.26316
80,65,5.26316
150,65,5.26316
165,90,5.26316
105,75,5.26316
280,55,5.26316
80,50,5.26316
85,80,5.26316
100,50,5.26316
55,35,5.26316
230,100,5.26316
230,55,5.26316
130,100,5.26316
135,115,5.26316
60,55,5.26316
140,60,5.26316
100,60,5.26316
75,50,5.26316
80,60,5.26316
510,200,5.26316
75,68,5.26316
145,115,5.26316
130,80,5.26316
100,75,5.26316
60,40,5.26316
105,65,5.26316
290,200,5.26316
78,70,5.26316
95,75,5.26316
100,70,5.26316
85,50,5.26316
150,105,5.26316
90,40,5.26316
70,65,5.26316
170,130,5.26316
85,75,5.78947
140,70,5.78947
230,100,5.78947
110,90,5.78947
70,57,5.78947
80,55,5.78947
110,90,5.78947
190,120,5.78947
85,50,5.78947
60,48,5.78947
80,60,5.78947
180,70,5.78947
140,110,5.78947
110,90,5.78947
230,140,5.78947
40,30,5.78947
68,65,5.78947
90,80,5.78947
80,75,6.31579
145,110,6.31579
95,65,6.31579
190,80,6.31579
225,145,6.31579
250,170,6.31579
165,75,6.31579
80,75,6.31579
90,75,6.31579
125,70,6.31579
150,70,6.31579
110,80,6.31579
170,90,6.31579
110,85,6.31579
200,120,6.31579
105,70,6.31579
130,105,6.31579
150,55,6.31579
105,80,6.84211
500,210,6.84211
270,190,6.84211
130,50,6.84211
110,100,6.84211
160,80,6.84211
130,100,6.84211
270,175,6.84211
90,80,6.84211
115,50,6.84211
220,120,6.84211
230,130,6.84211
165,105,6.84211
75,40,6.84211
130,75,6.84211
110,55,6.84211
80,65,6.84211
110,70,7.36842
120,70,7.36842
100,60,7.36842
80,70,7.36842
145,75,7.36842
95,70,7.36842
210,145,7.36842
290,100,7.36842
100,80,7.36842
125,70,7.36842
75,65,7.36842
100,75,7.89474
200,185,7.89474
130,100,7.89474
